    n, quick_cmp, quick_swaps, quick_time, heapsort_cmp, heapsort_swaps, heapsort_time
  146,      1382,           0,        642,         1657,              0,           732
  147,      1435,           0,        667,         1652,              0,           728
  148,      1475,           0,        676,         1686,              0,           761
  149,      1463,           0,        710,         1679,              0,           741
  150,      1461,           0,        693,         1699,              0,           748
  151,      1450,           0,        686,         1716,              0,           752
  152,      1462,           0,        675,         1728,              0,           765
  153,      1399,           0,        663,         1749,              0,           774
  154,      1471,           0,        678,         1755,              0,           776
  155,      1583,           0,        724,         1782,              0,           787
  156,      1668,           0,        756,         1791,              0,           807
  157,      1586,           0,        780,         1809,              0,           798
  158,      1489,           0,        694,         1826,              0,           806
  159,      1528,           0,        713,         1833,              0,           809
  160,      1636,           0,        750,         1845,              0,           813
  161,      1623,           0,        763,         1860,              0,           818
  162,      1600,           0,        749,         1877,              0,           844
  163,      1746,           0,        794,         1881,              0,           829
  164,      1695,           0,        773,         1901,              0,           824
  165,      2042,           0,        887,         1909,              0,           824
  166,      1806,           0,        801,         1918,              0,           832
  167,      1704,           0,        768,         1944,              0,           840
  168,      1740,           0,        797,         1963,              0,           888
  169,      1813,           0,        825,         1969,              0,           869
  170,      1689,           0,        786,         1989,              0,           874
  171,      1953,           0,        880,         2003,              0,           879
  172,      2031,           0,        905,         2023,              0,           906
  173,      1770,           0,        810,         2047,              0,           900
  174,      1730,           0,        798,         2062,              0,           909
  175,      1822,           0,        833,         2074,              0,           912
  176,      1869,           0,        848,         2091,              0,           922
  177,      1829,           0,        833,         2090,              0,           920
  178,      1836,           0,        842,         2101,              0,           923
  179,      1938,           0,        883,         2114,              0,           932
  180,      1912,           0,        871,         2133,              0,           943
  181,      1901,           0,        878,         2149,              0,           948
  182,      1840,           0,        852,         2166,              0,           955
  183,      2048,           0,        925,         2172,              0,           959
  184,      1959,           0,        881,         2189,              0,           967
  185,      1843,           0,        852,         2207,              0,           971
  186,      1986,           0,        906,         2230,              0,           985
  187,      2006,           0,        910,         2232,              0,           987
  188,      1910,           0,        887,         2260,              0,           994
  189,      1858,           0,        861,         2247,              0,           981
  190,      1858,           0,        869,         2277,              0,          1000
  191,      1999,           0,        914,         2302,              0,          1013
  192,      2056,           0,        933,         2323,              0,          1022
  193,      2124,           0,        965,         2328,              0,          1019
  194,      2224,           0,        997,         2339,              0,          1044
  195,      1929,           0,        897,         2356,              0,          1034
  196,      2181,           0,        986,         2359,              0,          1034
