   n, quick_cmp, quick_swaps, quick_time, heapsort_cmp, heapsort_swaps, heapsort_time, insertion_cmp, insertion_swaps, insertion_time, bubble_cmp, bubble_swaps, bubble_time
  77,       624,          46,        297,          728,            341,           370,          1570,            1495,           1300,       2926,         1495,        1777
  78,       621,          50,        295,          749,            353,           385,          1608,            1532,           1337,       3003,         1532,        1820
  79,       611,          48,        293,          755,            351,           383,          1650,            1573,           1387,       3081,         1573,        1940
  80,       625,          53,        306,          758,            350,           385,          1707,            1629,           1433,       3160,         1629,        1936
  81,       671,          46,        313,          778,            363,           394,          1762,            1683,           1470,       3240,         1683,        1979
  82,       658,          50,        315,          786,            369,           401,          1808,            1728,           1508,       3321,         1728,        2030
  83,       932,          63,        420,          810,            375,           409,          1852,            1771,           1545,       3403,         1771,        2082
  84,       644,          52,        313,          826,            382,           420,          1929,            1847,           1616,       3486,         1847,        2146
  85,       770,          56,        359,          835,            389,           423,          1976,            1893,           1682,       3570,         1893,        2201
  86,       830,          59,        383,          846,            396,           432,          1985,            1901,           1662,       3655,         1901,        2234
  87,       736,          53,        345,          862,            404,           439,          2065,            1980,           1737,       3741,         1980,        2306
  88,       716,          52,        336,          864,            404,           440,          2115,            2029,           1767,       3828,         2029,        2356
  89,       864,          60,        395,          870,            402,           441,          2169,            2082,           1820,       3916,         2082,        2413
  90,       776,          55,        360,          899,            424,           466,          2223,            2135,           1878,       4005,         2135,        2503
  91,       813,          58,        380,          901,            414,           456,          2267,            2178,           1895,       4095,         2178,        2517
  92,       861,          62,        401,          918,            429,           467,          2326,            2236,           1950,       4186,         2236,        2579
  93,       945,          65,        432,          928,            432,           470,          2333,            2242,           1955,       4278,         2242,        2621
  94,       795,          60,        377,          941,            440,           487,          2426,            2335,           2042,       4371,         2335,        2706
  95,       792,          58,        374,          955,            444,           487,          2504,            2412,           2105,       4465,         2412,        2768
  96,       825,          62,        387,          967,            458,           496,          2518,            2425,           2112,       4560,         2425,        2815
  97,       823,          58,        385,          990,            466,           507,          2576,            2482,           2159,       4656,         2482,        2883
  98,       809,          59,        383,         1003,            470,           511,          2578,            2483,           2159,       4753,         2483,        2908
  99,       809,          59,        383,         1022,            481,           517,          2633,            2537,           2239,       4851,         2537,        2964
 100,       868,          64,        412,         1035,            490,           526,          2660,            2563,           2223,       4950,         2563,        3012
